"GEO","National Occupational Classification (NOC)","VALUE"
"Quebec","Legislative and senior management occupations [00]","7.4"
"Quebec","Specialized middle management occupations [10, 20, 30, 40, 50]","136.2"
"Quebec","Middle management occupations in retail and wholesale trade and customer services [60]","120.0"
"Quebec","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","129.7"
"Quebec","Business, finance and administration occupations, except management [11-14]","770.8"
"Quebec","Professional occupations in finance and business [11]","216.6"
"Quebec","Professional occupations in finance [111]","119.9"
"Quebec","Professional occupations in business [112]","96.7"
"Quebec","Administrative and financial supervisors and specialized administrative occupations [12]","173.4"
"Quebec","Administrative occupations and transportation logistics occupations [13]","216.7"
"Quebec","Administrative and financial support and supply chain logistics occupations [14]","164.2"
"Quebec","Natural and applied sciences and related occupations, except management [21-22]","445.7"
"Quebec","Professional occupations in natural and applied sciences [21]","254.3"
"Quebec","Professional occupations in natural sciences [211]","14.3"
"Quebec","Professional occupations in applied sciences (except engineering) [212]","173.0"
"Quebec","Professional occupations in engineering [213]","67.1"
"Quebec","Technical occupations related to natural and applied sciences [22]","191.4"
"Quebec","Health occupations, except management [31-33]","323.1"
"Quebec","Professional occupations in health [31]","154.9"
"Quebec","Health treating and consultation services professionals [311]","42.1"
"Quebec","Therapy and assessment professionals [312]","28.5"
"Quebec","Nursing and allied health professionals [313]","84.3"
"Quebec","Technical occupations in health [32]","82.4"
"Quebec","Assisting occupations in support of health services [33]","85.8"
"Quebec","Occupations in education, law and social, community and government services, except management [41-45]","487.8"
"Quebec","Professional occupations in law, education, social, community and government services [41]","287.1"
"Quebec","Professional occupations in law [411]","24.7"
"Quebec","Professional occupations in education services [412]","173.7"
"Quebec","Professional occupations in social and community services [413]","45.6"
"Quebec","Professional occupations in government services [414]","43.1"
"Quebec","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","149.6"
"Quebec","Occupations in front-line public protection services [421]","23.3"
"Quebec","Paraprofessional occupations in legal, social, community and education services [422]","126.2"
"Quebec","Assisting occupations in education and in legal and public protection [43]","18.7"
"Quebec","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","32.5"
"Quebec","Occupations in art, culture, recreation and sport, except management [51-55]","215.9"
"Quebec","Professional occupations in art and culture [51]","43.6"
"Quebec","Technical occupations in art, culture and sport [52]","59.3"
"Quebec","Occupations in art, culture and sport [53]","40.8"
"Quebec","Support occupations in art, culture and sport [54-55]","72.3"
"Quebec","Sales and service occupations, except management [62-65]","1055.3"
"Quebec","Retail sales and service supervisors and specialized occupations in sales and services [62]","134.9"
"Quebec","Occupations in sales and services [63]","164.8"
"Quebec","Sales and service representatives and other customer and personal services occupations [64]","325.0"
"Quebec","Sales and service support occupations [65]","430.5"
"Quebec","Trades, transport and equipment operators and related occupations, except management [72-75]","711.2"
"Quebec","Technical trades and transportation officers and controllers [72]","316.5"
"Quebec","General trades [73]","197.1"
"Quebec","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","25.1"
"Quebec","Helpers and labourers and other transport drivers, operators and labourers [75]","172.5"
"Quebec","Natural resources, agriculture and related production occupations, except management [82-85]","73.6"
"Quebec","Supervisors and occupations in natural resources, agriculture and related production [82-83]","21.5"
"Quebec","Workers and labourers in natural resources, agriculture and related production [84-85]","52.1"
"Quebec","Occupations in manufacturing and utilities, except management [92-95]","246.2"
"Quebec","Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]","39.4"
"Quebec","Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]","150.7"
"Quebec","Labourers in processing, manufacturing and utilities [95]","56.2"
"Quebec","Unclassified occupations","70.1"
"Ontario","Total, all occupations [00-95]","8544.4"
"Ontario","Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]","840.9"
"Ontario","Legislative and senior management occupations [00]","32.5"
"Ontario","Specialized middle management occupations [10, 20, 30, 40, 50]","353.8"
"Ontario","Middle management occupations in retail and wholesale trade and customer services [60]","216.4"
"Ontario","Middle management occupations in trades, transportation, production and utilities [70, 80, 90]","238.2"
"Ontario","Business, finance and administration occupations, except management [11-14]","1420.3"
"Ontario","Professional occupations in finance and business [11]","454.5"
"Ontario","Professional occupations in finance [111]","225.8"
"Ontario","Professional occupations in business [112]","228.8"
"Ontario","Administrative and financial supervisors and specialized administrative occupations [12]","334.7"
"Ontario","Administrative occupations and transportation logistics occupations [13]","286.5"
"Ontario","Administrative and financial support and supply chain logistics occupations [14]","344.7"
"Ontario","Natural and applied sciences and related occupations, except management [21-22]","791.5"
"Ontario","Professional occupations in natural and applied sciences [21]","567.5"
"Ontario","Professional occupations in natural sciences [211]","35.0"
"Ontario","Professional occupations in applied sciences (except engineering) [212]","418.8"
"Ontario","Professional occupations in engineering [213]","113.7"
"Ontario","Technical occupations related to natural and applied sciences [22]","223.9"
"Ontario","Health occupations, except management [31-33]","605.0"
"Ontario","Professional occupations in health [31]","308.9"
"Ontario","Health treating and consultation services professionals [311]","111.4"
"Ontario","Therapy and assessment professionals [312]","47.1"
"Ontario","Nursing and allied health professionals [313]","150.4"
"Ontario","Technical occupations in health [32]","128.6"
"Ontario","Assisting occupations in support of health services [33]","167.5"
"Ontario","Occupations in education, law and social, community and government services, except management [41-45]","859.1"
"Ontario","Professional occupations in law, education, social, community and government services [41]","577.3"
"Ontario","Professional occupations in law [411]","69.9"
"Ontario","Professional occupations in education services [412]","287.6"
"Ontario","Professional occupations in social and community services [413]","100.2"
"Ontario","Professional occupations in government services [414]","119.6"
"Ontario","Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]","192.6"
"Ontario","Occupations in front-line public protection services [421]","41.9"
"Ontario","Paraprofessional occupations in legal, social, community and education services [422]","150.7"
"Ontario","Assisting occupations in education and in legal and public protection [43]","56.3"
"Ontario","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","32.9"
"Ontario","Occupations in art, culture, recreation and sport, except management [51-55]","303.3"
"Ontario","Professional occupations in art and culture [51]","77.4"
"Ontario","Technical occupations in art, culture and sport [52]","87.5"
"Ontario","Occupations in art, culture and sport [53]","39.9"
"Ontario","Support occupations in art, culture and sport [54-55]","98.5"
"Ontario","Sales and service occupations, except management [62-65]","1796.1"
"Ontario","Retail sales and service supervisors and specialized occupations in sales and services [62]","272.0"
"Ontario","Occupations in sales and services [63]","256.8"
"Ontario","Sales and service representatives and other customer and personal services occupations [64]","570.6"
"Ontario","Sales and service support occupations [65]","696.6"
"Ontario","Trades, transport and equipment operators and related occupations, except management [72-75]","1175.7"
"Ontario","Technical trades and transportation officers and controllers [72]","548.6"
"Ontario","General trades [73]","311.3"
"Ontario","Mail and message distribution, other transport equipment operators and related maintenance workers [74]","54.8"
"Ontario","Helpers and labourers and other transport drivers, operators and labourers [75]","261.0"
"Ontario","Natural resources, agriculture and related production occupations, except management [82-85]","122.4"
"Ontario","Supervisors and occupations in natural resources, agriculture and related production [82-83]","24.5"
"Ontario","Workers and labourers in natural resources, agriculture and related production [84-85]","97.9"
"Ontario","Occupations in manufacturing and utilities, except management [92-95]","399.2"
